deal_id,deal_scope,deal_size,target_country,current_size_under_contract,current_size_in_operation,current_negotiation_status,current_implementation_status,top_parent_companies,intended_size,size_under_contract,intention_of_investment,nature_of_the_deal,negotiation_status,implementation_status,contract_farming,investor_id,operating_company_name,operating_company_country_of_registration/origin,operating_company_classification,duration_of_the_agreement,investor_name,investor_country_of_registration,investor_classification,spatial_accuracy_level,location,geometry
1795,transnational,1430,Senegal,1430,900,Concluded (Contract signed),In operation (production),Société de culture légumière SCL#1468#,3000,2009##300.0|2010##500.0|2015#current#1430.0,#current##Food crops,Lease,2009#current#Concluded (Contract signed),#current#In operation (production),Yes,36073,Barfoots Senegal,Senegal,Private company,NA,Barfoots Senegal,Senegal,Private company,Approximate location,"Sanar, Senegal","c(-16.46637, 16.05983)"
1817,transnational,11339,Sierra Leone,11339,1810.23,Concluded (Contract signed),In operation (production),Phatisa Group Limited#1870#|Finnish Fund for Industrial Cooperation#2953#|Planting Naturals B.V.#43702#,5058,2011##800.0|2019#current#11339.0,#current##Agriculture unspecified,Lease,2011##Intended (Memorandum of understanding)|2011#current#Concluded (Contract signed),2013#current#In operation (production),Yes,36087,Goldtree (SL) Ltd.,Sierra Leone,Private company,NA,Goldtree (SL) Ltd.,Sierra Leone,Private company,Coordinates,"Daru, Sierra Leone","c(-10.84824, 7.96904)"
1817,transnational,11339,Sierra Leone,11339,1810.23,Concluded (Contract signed),In operation (production),Phatisa Group Limited#1870#|Finnish Fund for Industrial Cooperation#2953#|Planting Naturals B.V.#43702#,5058,2011##800.0|2019#current#11339.0,#current##Agriculture unspecified,Lease,2011##Intended (Memorandum of understanding)|2011#current#Concluded (Contract signed),2013#current#In operation (production),Yes,36087,Goldtree (SL) Ltd.,Sierra Leone,Private company,NA,Goldtree (SL) Ltd.,Sierra Leone,Private company,Exact location,"Kenema, Sierra Leone","c(-10.919, 7.86958)"
1817,transnational,11339,Sierra Leone,11339,1810.23,Concluded (Contract signed),In operation (production),Phatisa Group Limited#1870#|Finnish Fund for Industrial Cooperation#2953#|Planting Naturals B.V.#43702#,5058,2011##800.0|2019#current#11339.0,#current##Agriculture unspecified,Lease,2011##Intended (Memorandum of understanding)|2011#current#Concluded (Contract signed),2013#current#In operation (production),Yes,36087,Goldtree (SL) Ltd.,Sierra Leone,Private company,NA,Goldtree (SL) Ltd.,Sierra Leone,Private company,Approximate location,"Malema, Sierra Leone","c(-10.81492, 8.17259)"
2237,transnational,10847,Ghana,10847,650,Concluded (Contract signed),Project abandoned,Solar Harvest AS#2079#,154778,2008#current#10847.0,"#current##Biofuels, Food crops",Lease,2008#current#Concluded (Contract signed),2007##Startup phase (no production)|2013#current#Project abandoned,No,36591,Solar Harvest Ltd,Ghana,Private company,25,Solar Harvest Ltd,Ghana,Private company,Coordinates,"Yendi, Ghana","c(-0.00933, 9.44504)"
2237,transnational,10847,Ghana,10847,650,Concluded (Contract signed),Project abandoned,Solar Harvest AS#2079#,154778,2008#current#10847.0,"#current##Biofuels, Food crops",Lease,2008#current#Concluded (Contract signed),2007##Startup phase (no production)|2013#current#Project abandoned,No,36591,Solar Harvest Ltd,Ghana,Private company,25,Solar Harvest Ltd,Ghana,Private company,Coordinates,"Yendi, Ghana","c(-0.36323, 9.3821)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Britannia, Mauritius","c(57.56177, -20.45038)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Benares, Mauritius","c(57.58938, -20.48445)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Mon Desert, Mauritius","c(57.67541, -20.45232)"
2290,domestic,3000,Mauritius,3000,2755,Concluded (Contract signed),In operation (production),Omnicane Agricultural Operations Limited#42780#,3000,2009#current#3000.0,"#current##Biofuels, Food crops, Renewable Energy",Outright purchase,2009#current#Concluded (Contract signed),1999#current#In operation (production),Yes,42780,Omnicane Agricultural Operations Limited,Mauritius,Private company,NA,Omnicane Agricultural Operations Limited,Mauritius,Private company,Approximate location,"Plaines Wilhems District, Mauritius","c(57.48536, -20.30549)"
3100,transnational,21696,Nigeria,21696,16900,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Unknown (Nigerian Investors)#3445#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,33096,1986##15580.0|2001#current#21696.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,1990#current#Concluded (Contract signed),1976#current#In operation (production),No,36402,Okomu Oil Palm Company,Nigeria,Private company,99,Okomu Oil Palm Company,Nigeria,Private company,Exact location,"Benin City, Nigeria","c(5.25905, 6.40527)"
3100,transnational,21696,Nigeria,21696,16900,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Unknown (Nigerian Investors)#3445#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,33096,1986##15580.0|2001#current#21696.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,1990#current#Concluded (Contract signed),1976#current#In operation (production),No,36402,Okomu Oil Palm Company,Nigeria,Private company,69,Okomu Oil Palm Company,Nigeria,Private company,Exact location,"Benin City, Nigeria","c(5.25905, 6.40527)"
3100,transnational,21696,Nigeria,21696,16900,Concluded (Contract signed),In operation (production),Bolloré Group#168#|Unknown (Nigerian Investors)#3445#|Geselfina S.A.#41759#|Afico S.A.#41760#|Twosun Fin. SA#41761#|Hubert Fabri#41762#|Compagnie du Cambodge#41763#|Technifin#41764#|Plantations des Terres Rouges#41765#|Compagnie des Glénans#41766#,33096,1986##15580.0|2001#current#21696.0,"#current##Non-food agricultural commodities, Agriculture unspecified",Lease,1990#current#Concluded (Contract signed),1976#current#In operation (production),No,36402,Okomu Oil Palm Company,Nigeria,Private company,99,Okomu Oil Palm Company,Nigeria,Private company,Exact location,"Benin City, Nigeria","c(5.25905, 6.40527)"
3214,transnational,348000,"Congo, Dem. Rep.",348000,0,Concluded (Contract signed),In operation (production),Groupe Blattner Elwyn#1584#|Congo Emissions Management#43038#,348000,2004#current#348000.0,"2004#current#348000.0#Agriculture unspecified, Forest logging / management, For carbon sequestration/REDD",Concession,2009#current#Concluded (Contract signed)|2004##Concluded (Contract signed),2019#current#In operation (production),No,36770,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,25,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,Coordinates,"Isangi, Democratic Republic of the Congo","c(24.03065, 0.60748)"
3214,transnational,348000,"Congo, Dem. Rep.",348000,0,Concluded (Contract signed),In operation (production),Groupe Blattner Elwyn#1584#|Congo Emissions Management#43038#,348000,2004#current#348000.0,"2004#current#348000.0#Agriculture unspecified, Forest logging / management, For carbon sequestration/REDD",Concession,2009#current#Concluded (Contract signed)|2004##Concluded (Contract signed),2019#current#In operation (production),No,36770,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,25,SAFBOIS with REDD+ partner,"Congo, Dem. Rep.",Private company,Coordinates,"Tshopo, Democratic Republic of the Congo","c(23.84849, 0.18758)"
3398,transnational,50000,Ghana,50000,0,Concluded (Contract signed),Project abandoned,Natural African Diesel (NAD)#2109#,50000,2008#current#50000.0,#current##Biofuels,Lease,2008#current#Concluded (Contract signed),2008##Startup phase (no production)|2020#current#Project abandoned,NA,37362,"Natural African Diesel, Ghana Limited",Ghana,Private company,50,"Natural African Diesel, Ghana Limited",Ghana,Private company,Coordinates,"Brenkente, Ghana","c(-0.62836, 8.18414)"
3398,transnational,50000,Ghana,50000,0,Concluded (Contract signed),Project abandoned,Natural African Diesel (NAD)#2109#,50000,2008#current#50000.0,#current##Biofuels,Lease,2008#current#Concluded (Contract signed),2008##Startup phase (no production)|2020#current#Project abandoned,NA,37362,"Natural African Diesel, Ghana Limited",Ghana,Private company,50,"Natural African Diesel, Ghana Limited",Ghana,Private company,Coordinates,"Chirepo, Ghana","c(-0.54988, 8.06013)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Awura, Ghana","c(-1.32337, 7.2295)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Chirimfa, Ghana","c(-1.23306, 7.06667)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Agogo, Ghana","c(-1.12237, 6.86926)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Agogo, Ghana","c(-1.06535, 6.87265)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Kumawu, Ghana","c(-1.10314, 6.90509)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Agogo, Ghana","c(-1.02703, 6.93077)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Agogo, Ghana","c(-1.22351, 6.99187)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Kumawu, Ghana","c(-1.11021, 6.94141)"
3404,transnational,18901,Ghana,18901,1254.8,Concluded (Contract signed),In operation (production),Miro Forestry Developments Limited#2135#,10000,2009##5002.28|2012##6538.28|2017##10966.0|2018#current#18901.0|2009##20835.0,"#current##Timber plantation, For carbon sequestration/REDD",Lease,2009#current#Concluded (Contract signed),2010##Startup phase (no production)|2011#current#In operation (production),Yes,36651,Miro Forestry (Ghana) Limited,Ghana,Private company,NA,Miro Forestry (Ghana) Limited,Ghana,Private company,Coordinates,"Kumawu, Ghana","c(-1.13864, 6.9196)"
