Deal ID,Spatial accuracy level,Location,Point,Facility name,Location description,Comment on location
1166,Exact location,"Epoma, Republic of the Congo","0.42362,15.39968",,,"The majority of the land (402,637 hectares, reduced to 140,000ha) is in Cuvette Province. The remaining 67,363 (reduced to 40,000) hectares are in Mokeko District in Sangha Province. 

Location information: https://www.globalforestwatch.org/map/global/?analysis=eyJzaG93RHJhdyI6ZmFsc2V9&areaOfInterestModal=eyJvcGVuIjpmYWxzZSwiYWN0aXZlQXJlYUlkIjpudWxsfQ%3D%3D&location=WyJnbG9iYWwiXQ%3D%3D&mainMap=eyJoaWRlUGFuZWxzIjpmYWxzZSwiaGlkZUxlZ2VuZCI6ZmFsc2UsInNob3dCYXNlbWFwcyI6ZmFsc2UsInNob3dSZWNlbnRJbWFnZXJ5IjpmYWxzZSwic2hvd0FuYWx5c2lzIjpmYWxzZX0%3D&map=eyJjZW50ZXIiOnsibGF0IjowLjQ4Njk3NjQ0NTMxNzQyMiwibG5nIjoxNS40MjI5NDQyMDQxMDM0MTR9LCJ6b29tIjoxMC4yMTgxMTMwMTI0NTUwMDEsImJlYXJpbmciOjAsInBpdGNoIjowLCJtaW5ab29tIjoyLCJtYXhab29tIjoxOSwiYmFzZW1hcCI6eyJ2YWx1ZSI6InNhdGVsbGl0ZSJ9LCJsYWJlbHMiOnRydWUsInJvYWRzIjpmYWxzZSwiYmJveCI6W10sImNhbkJvdW5kIjpmYWxzZSwiZHJhd2luZyI6ZmFsc2UsImRhdGFzZXRzIjpbeyJsYXllcnMiOlsiYjQ1MzUwZTMtNWE3Ni00NGNkLWIwYTktNTAzOGEwZDhiZmFlIiwiY2MzNTQzMmQtMzhkNy00YTAzLTg3MmUtM2E3MWEyZjU1NWZjIl0sImRhdGFzZXQiOiIwYjAyMDhiNi1iNDI0LTRiNTctOTg0Zi1jYWRkZmEyNWJhMjIiLCJvcGFjaXR5IjoxLCJ2aXNpYmlsaXR5Ijp0cnVlfSx7ImRhdGFzZXQiOiJjNWFhYzI4MC05ZGFjLTRlOTctOGY0NC1hZmM1MmE1MmMyNTUiLCJvcGFjaXR5IjoxLCJ2aXNpYmlsaXR5Ijp0cnVlLCJsYXllcnMiOlsiYWVmMGEzZTUtNzI5ZS00ZjFhLTliMWMtMjVhNzNjN2VhNGMxIl19XX0%3D&mapMenu=eyJtZW51U2VjdGlvbiI6IiIsImRhdGFzZXRDYXRlZ29yeSI6ImxhbmRVc2UiLCJleHBsb3JlVHlwZSI6InRvcGljcyIsInNlYXJjaFR5cGUiOiJkYXRhc2V0IiwicHR3VHlwZSI6ImFsbCIsInNlYXJjaCI6IiIsInNlbGVjdGVkQ291bnRyaWVzIjpbXX0%3D&mapPrompts=eyJvcGVuIjpmYWxzZSwic3RlcEluZGV4IjowLCJzdGVwc0tleSI6InJlY2VudEltYWdlcnkiLCJmb3JjZSI6dHJ1ZX0%3D&recentImagery=eyJzZWxlY3RlZCI6bnVsbCwic2VsZWN0ZWRJbmRleCI6MCwiZGF0ZSI6bnVsbCwid2Vla3MiOjEzLCJjbG91ZHMiOjI1LCJiYW5kcyI6MH0%3D"
1166,Exact location,"Owando, Republic of the Congo","-0.32955,16.0667",,,Location data: https://www.globalforestwatch.org/map/global/?analysis=eyJzaG93RHJhdyI6ZmFsc2V9&areaOfInterestModal=eyJvcGVuIjpmYWxzZSwiYWN0aXZlQXJlYUlkIjpudWxsfQ%3D%3D&location=WyJnbG9iYWwiXQ%3D%3D&mainMap=eyJoaWRlUGFuZWxzIjpmYWxzZSwiaGlkZUxlZ2VuZCI6ZmFsc2UsInNob3dCYXNlbWFwcyI6ZmFsc2UsInNob3dSZWNlbnRJbWFnZXJ5IjpmYWxzZSwic2hvd0FuYWx5c2lzIjpmYWxzZX0%3D&map=eyJjZW50ZXIiOnsibGF0IjotMC4zMzg1MjE5ODA5MDU1NTI0NywibG5nIjoxNi4wMjg4MDA4ODI0MTU3NDR9LCJ6b29tIjoxMi4wNzg2MDQwODI1MTAyMzcsImJlYXJpbmciOjAsInBpdGNoIjowLCJtaW5ab29tIjoyLCJtYXhab29tIjoxOSwiYmFzZW1hcCI6eyJ2YWx1ZSI6InNhdGVsbGl0ZSJ9LCJsYWJlbHMiOnRydWUsInJvYWRzIjpmYWxzZSwiYmJveCI6W10sImNhbkJvdW5kIjpmYWxzZSwiZHJhd2luZyI6ZmFsc2UsImRhdGFzZXRzIjpbeyJsYXllcnMiOlsiYjQ1MzUwZTMtNWE3Ni00NGNkLWIwYTktNTAzOGEwZDhiZmFlIiwiY2MzNTQzMmQtMzhkNy00YTAzLTg3MmUtM2E3MWEyZjU1NWZjIl0sImRhdGFzZXQiOiIwYjAyMDhiNi1iNDI0LTRiNTctOTg0Zi1jYWRkZmEyNWJhMjIiLCJvcGFjaXR5IjoxLCJ2aXNpYmlsaXR5Ijp0cnVlfSx7ImRhdGFzZXQiOiJjNWFhYzI4MC05ZGFjLTRlOTctOGY0NC1hZmM1MmE1MmMyNTUiLCJvcGFjaXR5IjoxLCJ2aXNpYmlsaXR5Ijp0cnVlLCJsYXllcnMiOlsiYWVmMGEzZTUtNzI5ZS00ZjFhLTliMWMtMjVhNzNjN2VhNGMxIl19XX0%3D&mapMenu=eyJtZW51U2VjdGlvbiI6IiIsImRhdGFzZXRDYXRlZ29yeSI6ImxhbmRVc2UiLCJleHBsb3JlVHlwZSI6InRvcGljcyIsInNlYXJjaFR5cGUiOiJkYXRhc2V0IiwicHR3VHlwZSI6ImFsbCIsInNlYXJjaCI6IiIsInNlbGVjdGVkQ291bnRyaWVzIjpbXX0%3D&mapPrompts=eyJvcGVuIjpmYWxzZSwic3RlcEluZGV4IjowLCJzdGVwc0tleSI6InJlY2VudEltYWdlcnkiLCJmb3JjZSI6dHJ1ZX0%3D&recentImagery=eyJzZWxlY3RlZCI6bnVsbCwic2VsZWN0ZWRJbmRleCI6MCwiZGF0ZSI6bnVsbCwid2Vla3MiOjEzLCJjbG91ZHMiOjI1LCJiYW5kcyI6MH0%3D
1167,Coordinates,"Niari, Congo","-3.74389,12.50472",,,"Nyari Vallée as additional location
exact coordonates (-3.743889, 12.504722). 180 kilometres from the port of Pointe-Noire.
Niari, Congo"
1172,Exact location,"Toshka, Aswan Governorate, Egypt","22.66297,31.31872",,,
1173,Exact location,"Sharq al Owainat, Egypt","22.55736,28.43924",,,"Sharq al Owainat, Egypt, 30km from the border with Sudan and 250km from the border with Libya"
1175,Administrative region,"Luxor, Qism Qena, Qena, Qena Governorate, Egypt","26.15665,32.73132",,,"Qena, Qism Qena, Qena, Qena Governorate, Egypt outside Luxor, southern Egypt."
1176,Administrative region,"Toshka, Aswan, Egypt","22.46871,31.90394",,,Toshka
1176,Administrative region,"New Valley Governorate, Egypt","24.54556,27.17353",,,Toshka New Valley Development Project
1181,Exact location,"Toshka, Aswan, Egypt","23.1969,31.57497",,,
1184,Administrative region,"Bisha, Eritrea","16.96667,37.75",,,"Bisha- located 150 kilometres from Asmara, Eritrea"
1189,Administrative region,"Oromia, Ethiopia","7.54604,40.63469",,,Land in several Woredas in East and West Hareghe Zones
1192,Administrative region,"Arsi, Ethiopia","7.93399,39.65182",,,Oromia
1193,Administrative region,"Amhara, Ethiopia","11.34942,37.97846",,,"Amhara regional state, Awi zone, Jawi Wereda
"
1194,Administrative region,"Jimma, Ethiopia","7.81437,36.78195",,,
1196,Administrative region,"Āsosa, Ethiopia","10.06115,34.53437",,,"Benshangul Gumuz in Assosa Zone, Oda Woreda"
1197,Administrative region,"Metekel, Ethiopia","10.78029,35.56579",,,"Benshangul Gumuz region: Qoto (or Koto) kebele in Metekel Zone Beles Woreda  , Benishangul"
1198,Administrative region,"Metekel, Ethiopia","10.78029,35.56579",,,"Benishangul Gumuz region, Metekel zone, Dangur Woreda in Bengaz Kebele  , Benishangul"
1199,Administrative region,"Amhara, Äthiopien","11.34942,37.97846",,,"Amhara regional state: Habru Woreda
Coordinates: 11.6, 39.766667"
1201,Administrative region,"Metekel, Ethiopia","10.78029,35.56579",,,"Benshangul Gumuz region: Metekel Zone in Dandure Woreda, covers 4 Kebeles namely Jantaya, Gublak, Dabata, Dilkanbikokil,  Jarduban 
Coordinates: 11.517059, 35.76255"
1205,Coordinates,"Gambella, Ethiopia","9.03838,37.07418",,,"Jikao and Itang districts, Coordinates and map of contract area in ilc research paper. Annex 5"
1208,Administrative region,"Bako, Ethiopia","5.28333,36.76667",,,"Oromia regional state, Western Shoa Zone & Bako Tibe Woreda
Coordinates: 9.13391579544359, 37.0687733527304"
1215,Administrative region,"Anno, Ethiopia","6.87406,38.39235",,,
1218,Exact location,"Bandira, Ethiopia","8.91667,36.58333",,,"Bandira kebele, Dima District, Gambela Regional state"
1221,Administrative region,"Gambela, Ethiopia","8.24478,34.58817",,,"Gambele Regional State, Agnuwa zones, Goge district, Puchal, Pugnido and Teta kebeles"
1230,Administrative region,"ደሴኔክ ፡፡, Ethiopia","4.56245,36.17626",Omarate Farm,,"South of Hana, close to the Kenyan border, I find Omorate, a big, dry village on the banks of the Omo River.
Dasenech woreda, South Omo Region"
1232,Administrative region,"Holeta, Ethiopia","9.06329,38.49025",,,Holeta (comprising of two farms) is 40 km from Addis Abeba.
1232,Administrative region,"Bishoftu, Ethiopia","8.75,38.98333",,,Debre Zeit  is 45 km from Addis Abeba.
1232,Administrative region,"Koka, Ethiopia","8.43442,39.0308",,,Koka is 100 km from Addis Abeba.
1232,Administrative region,"Tikur Wuha Dam, Ethiopia","10.67336,37.37062",,,Tikur Wuha (2 farms) is 260 km from Addis Abeba.
1233,Administrative region,"Illubabor, Ethiopia","8.50554,35.74069",,,Gumaro plantation- 637 km South West of Addis Ababa
1233,Administrative region,Ethiopia,"9.145,40.48967",,,"Wush Wush Tea Plantation-460km South West of Addis Ababa, Kaffa Zone, Southern Region"
1234,Administrative region,"Bebeka, Ethiopia","6.85833,35.26472",,,
1235,Administrative region,"Gojeb River, Ethiopia","7.34107,37.34966",,,"located in western Ethiopia at Gojeb Valley, near the border between Oromia and Southern regional states. The farm is bordered by the Gojeb River to its northeast and a natural forest-covered escarpment to the south."
1241,Administrative region,"Bench Maji, Ethiopia","6.63151,35.56579",,,"Mezenger, Metekel, and Bench-Maji zones of the Gambella, Benishangul-Gumuz, and South Ethiopia Peoples' States respectively"
1241,Administrative region,"Benishangul-Gumuz, Ethiopia","10.78029,35.56579",,,
1241,Administrative region,"Metekel, Ethiopia","10.78029,35.56579",,,
1242,Administrative region,"Guba, Ethiopia","11.26953,35.28763",,,Aychichiniya Abultu kebele in Guba district in Metekel zone in Binshangul Gumuz regional state.
1244,Exact location,"Abobo, Ethiopia","7.89775,34.31689",,,"Pierbengo and Pukedi Kebeles, Abobo district, western region of Gambela Regional State."
1246,Administrative region,"Jimma, Ethiopia","7.67389,36.83579",,,Jimma Coffee Nursery Site
1250,Administrative region,"Gambela, Ethiopia","8.24478,34.58817",,,"Jimma, about 260 kilometers (162 miles) southwest Addis Ababa"
1252,Administrative region,"Benishangul-Gumuz Region, Ethiopia","10.78029,35.56579",,,"One 50ha nursery, the others are in regions which are not known."
1255,Administrative region,"Southern Nations, Nationalities, and People's Region, Ethiopia","6.51569,36.95411",,,SNNPR
1264,Administrative region,"Oromia, Ethiopia","7.54604,40.63469",,,"Oromia regional state
"
1266,Administrative region,"Southern Nations, Nationalities, and People's Region, Ethiopia","6.51569,36.95411",,,SNNPR
1268,Administrative region,"Southern Nations, Nationalities, and People's Region, Ethiopia","6.51569,36.95411",,,"Binale Kebele, SNNPR"
1272,Administrative region,"Mehoni, Ethiopia","12.7992,39.64407",,,Mehoni in the Tigray Region. This is a remote area 150 km south of Mekele.
1274,Administrative region,"Somali, Ethiopia","6.66123,43.79085",,,"Gad kebele in Shinile Zone, near Dire Dawa"
1278,Administrative region,"East Hararghe, Ethiopia","8.80803,41.60118",,,"Oromia regional state, Hararghe (East&West part)"
1285,Administrative region,"Oromia, Ethiopia","7.54604,40.63469",,,"Oromia Regional State, Holeta"
1288,Country,Ethiopia,"9.145,40.48967",,,Multi regional
1297,Administrative region,"Bale, Ethiopia","6.91667,37.23333",,,"Beltu, Bale Zone, Oromia regional state"
1302,Administrative region,"Omo, Ethiopia","5.45091,36.26308",,,"Dasenech district, Nebremus kebele"
1303,Administrative region,"Godere, Ethiopia","7.31874,35.12688",,,"Gambela regional state, Mezhenger zone, Godere weredas, Gumare&Kabu districts"
1304,Administrative region,"Dangur, Ethiopia","11.75,36.18333",,,"Benshangul Gumuz regional state, Metekel zone, Dangur&Guba districts"
1304,Administrative region,"Guba, Ethiopia","11.26953,35.28763",,,
1305,Administrative region,"Arjo, Ethiopia","8.75066,36.49593",,,"Arjo Gudatu (Dedesa) in East Wollega Zone of the Oromia Regional State. Its command area encircles parts of Eastern Wollega, Eillu Ababora and Jimma Zones following the route of Deddiessa Rift Valley."
1306,Administrative region,"Dima, Ethiopia","4.43333,37.11667",,,"Gambela regional state, Agnuwa Zone, Dima district around Ukach and Awaya kebeles"
1309,Administrative region,"Adama, Ethiopia","8.53997,39.27198",,,"Wonji Sugar Factory, Wonji Shewa Sugar factory. downstream of the Koka Dam in the Central Rift Valley of
Ethiopia in the Awash River Basin, 110 km southeast of Addis Ababa and 10 km south of Nazareth by road."
1318,Administrative region,"Southern Nations, Nationalities, and People's Region, Ethiopia","6.51569,36.95411",,,SNNPR
1319,Administrative region,"Oromia, Ethiopia","7.54604,40.63469",,,
1320,Administrative region,"Āwash, Ethiopia","8.99444,40.16667",,,"Located on the upper course of the Awash River.174 km away from Addis Ababa along Awash River, Upper Awash, Oromia."
1321,Administrative region,"Ziway, Ethiopia","7.93333,38.71667",,,Zewai area- biggest nursery
1321,Administrative region,"Adami Tullu, Ethiopia","7.86506,38.70801",,,"Adami Tulu, 170Km south of Addis Abeba in the Oromia Regional State (acquired in 2015)"
1321,Administrative region,"Koka, Ethiopia","8.43442,39.0308",,,Smallest nursery
1322,Coordinates,"Yeji, Ghana","8.24713,-0.71793",,,"Brong-Ahafo province,  Pru district. In three plots close together- Kwaese plot 1 171ha, plot 2 kadue 813ha, plot 3 gentydua 5766ha."
1323,Coordinates,"Volta Region, Ghana","6.07873,0.57861",,Headquarters/ Office,"Near Adidome, Volta Region. About 5km east from the Amo river. Information provided by Ahmed Abubakari who visited the company in 2016 and 2020. ""The Galten Agro head office is located along the Adidome-Sogakope road where their jatropha farm that got burned and collapsed in located Adjacent to their office. But the company had land to the south of the river which it claims that it wasn't in use.""

Previous location south of the river ""is most likely to be a rice plantation owned by one businessman in Ghana call Nduom who has large plantations in the south to feed his rice factory located in the north of the volta lake""."
1324,Administrative region,"Nsuta,Sekyere, Ghana","6.91894,-1.38718",,,"Sekyere Central, Ashanti Province"
1330,Administrative region,"Prang, Ghana","7.99377,-0.8842",,,"Brong- Ahafo Province. Near Salaga in the Katanga valleys of the East Gonja District, near the top of the Volta Lake. Along the Daka river."
1333,Administrative region,"Doboro, Ghana","5.80497,-0.31485",,,"Processing plant in Akuapem South district, 25km from Accra"
1334,Exact location,"Yeji, Ghana","8.16652,-0.72245",,South of the road between Yeji and Sawaba No.1 in a location called Kobre,"Plantation and processing factory.
Additional plantations in Bredi, Dinkrah and Abease which are all located in the Brong Ahafo Region."
1334,Approximate location,"Prang, Ghana","8.02611,-1.09377",,Abease property,
1334,Approximate location,"Kumfia, Ghana","7.78137,-1.39523",,Dinkra property,
1334,Approximate location,"Ahyiayemu, Ghana","7.60052,-1.48883",,Bredi property,
1335,Country,Ghana,"7.94653,-1.02319",,,
1337,Administrative region,"Sege, Ghana","5.88276,0.36071",,,"Site near Sege and Old Ningo
150 ha test farm, where Jatropha hedges in various lay outs are tested in combination with a large number of locally adaptable food crops; in 2010 a small poultry farm was added primarily using local methods."
1337,Administrative region,"Gomoa, Ghana","5.43543,-0.71527",,,"Cocoa nursery with 20,000 plants planned to be established in the fall of 2012. Transplanting will take place at the start of the rainy season in 2013."
1338,Coordinates,"Buipe, Ghana","8.65319,-1.51883",,"Paragon Farms, N10 (5 miles south of Buipe), Kadelso","In the village of Kadelso. Location coordinates from Ghana data campaign.
Jatropha plantations would be established in the Brong-Ahafo and Northern Regions"
1339,Administrative region,"Mankessim, Ghana","5.26933,-1.0183",,,
1339,Administrative region,"Kwahu Tafo, Ghana","6.65536,-0.6607",,,
1339,Administrative region,"Gomoa, Ghana","5.43543,-0.71527",,,
1345,Exact location,"Dixcove, Ghana","4.80408,-1.97014",,,
1346,Coordinates,"Wassa East, Ghana","5.10877,-1.91433",,,"Between Adum Banso and Benso, in the Mpohor Wassa East  District of the Western Region of Ghana.

Spatial data derived from satellite imagery."
1348,Approximate location,"Aveyime, Ghana","6.02936,0.37597",,,"Volta, South Tongu, Mafi Dove"
1350,Administrative region,"Sunyani, Ghana","7.33333,-2.33333",,,Dormah 400 ha
1350,Administrative region,"Mampong, Ghana","7.06068,-1.40443",,,350 ha
1350,Administrative region,"Somanya, Ghana","6.105,-0.01399",,,600 ha
1356,Exact location,"Koba, Guinea","9.91938,-13.85057",,,Faranah Region
1358,Administrative region,"Ndema, Guinea","8.71172,-10.50337",,,5340ha
1358,Administrative region,"Konindou, Guinea","10.7,-10.85",,,3475ha
1359,Administrative region,"Saraya, Guinea","10.77281,-10.39331",,,
1361,Administrative region,"Conakry, Guinea","9.53703,-13.67847",,,"Conakry
"
1363,Administrative region,"Garsen, Kenya","-2.26948,40.11071",,,"Tana River Delta. Heading north on the B8 highway, which connects the Kenyan port city of Mombasa to Garissa Town close to the Somali border, a small white signboard marks a turning onto a dirt road."
1371,Administrative region,"Garsen, Kenya","-2.26948,40.11071",,,Garsen Division of Tana River District
1371,Administrative region,"Lamu, Kenya","-2.26956,40.90064",,,"Lamu District, about 200 km North of Mombasa City."
1374,Coordinates,"Yala Swamp, Kenya","0.02021,34.16048",,,"Bondo, Siaya, Nyanza, around Yala Swamps Office and administrative buildings."
1376,Administrative region,"Kisumu, Kenya","-0.0917,34.76796",,,
1384,Approximate location,"Juja, Kenya","-1.10182,37.0144",,,
1384,Approximate location,"Naivasha, Kenya","-0.71718,36.43103",,,
1384,Approximate location,"Molo, Kenya","-0.24884,35.73237",,,
1384,Approximate location,"Mount Kenya, Kenya","-0.15214,37.30841",,,
1388,Exact location,"Bomi, Liberia","6.7222,-11.00073",,,"Bomi; Gbarpolu; Grand Cape Mount; Bong  counties. SPOTT website (http://www.sustainablepalmoil.org/company/sime-darby-plantation-sdn-bhd/#map) provides exact location of plantations (A-K).

Of this gross concession area, 159,827 ha (51%) is planned in Gbarpolu County, 57,008 ha (18%) in Bomi County,
and 55,342 ha (18%) in Bong County.

Spatial data derived from the Mapathon 2020."
1391,Administrative region,"Maryland, Liberia","4.72589,-7.74167",,,"85800acres in Du and Farmington district, 19360 acres in Cavalla area, 27470acres in Harbel, Montserrado area plus some smaller concessions totalling 138349acres"
1392,Administrative region,"Gbarpolu, Liberia","7.49526,-10.08073",,,
1392,Administrative region,"Lofa, Liberia","8.19112,-9.72327",,,
1393,Administrative region,"Grand Bassa, Liberia","6.23085,-9.81249",,,District 4. Located 24km from the port of Buchanan .
1395,Administrative region,"Sinoe, Liberia","5.49871,-8.66006",,,"Butaw is located in Sinoe County, 350 km south-east of Monrovia, and 42 km from the City of Greenville."
1396,Exact location,"Butaw, Liberia","5.14092,-9.07923",,,"Butaw plantation, Sinoe."
1396,Exact location,"Garraway, Liberia","4.5596,-7.90834",,,"In Grand Kru County, the RSPO New Planting Procedure (NPP) requirements have been met for 28,000 ha in Trembo District and Wedabo and development of a nursery in Sorroken, Trembo. The total areas planted in Sorroken, Garraway and Wedabo Estates are 712 ha, 2,874 ha and 1,480 ha respectively in 2016."
1396,Administrative region,"Maryland, Liberia","4.72589,-7.74167",,,
1396,Administrative region,"River Cess, Liberia","5.90253,-9.45615",,,
1396,Administrative region,"River Gee, Liberia","5.26049,-7.87216",,,
1405,Administrative region,"M'diq 93200, Morocco","35.68058,-5.32332",,,MAC operates in the northern Moroccan territorial waters in M'diq Bay at the Mediterranean Sea
1412,Administrative region,"Moramanga, Madagascar","-18.9489,48.22443",,,Moramanga
1414,Administrative region,"Atsimo-Andrefana, Madagascar","-23.14853,44.39929",,,"Tulear in Atsimo Andrefana
One data source states that the project is spread over 9 locations, however does not specify these locations."
1419,Administrative region,"Ankazomborona, Madagascar","-16.1011,46.6814",,,"The Plantations are located 80 km from Mahajanga  on the main tarmac road  to Tana in the municipality of Amboromalandy, Boeny Region. Commune of ANKAZOMBORONA, district marovoay."
1422,Administrative region,"Moramanga, Madagascar","-18.95,48.23",,,"The project is located within the communes of Andasibe and Ambatovola, within the District of Moramanga. The project is situated in the east of Madagascar, in the peripheral zone of the National Park of Mantadia (NPM),  Maromizaha  Protected  Area  (MPA)  and  the  Analamazaotra  Special  Reserve  (ASR),  near  the town  of  Andasibe. "
1425,Administrative region,"Haute Matsiatra, Madagascar","-21.33909,46.51626",,,"Haute Matsiatra, Fenoarivo"
1434,Administrative region,"Boeny, Madagascar","-16.36452,45.90397",,,Boeny Alaotta Vakinankatra
1447,Administrative region,"Boeny, Madagascar","-16.36452,45.90397",,,"
"
1448,Country,Madagascar,"-18.76695,46.86911",,,Location unknown
1450,Administrative region,"Morondava, Madagascar","-20.29042,44.3",,,
1454,Exact location,"Satrokala, Madagascar","-22.33535,45.72854",,,"The Project Company operates a large-scale farm in Satrokala and Andiolava towns in the district of Ihosy, about 660 km from Antananarivo.

Spatial data derived from the Mapathon 2020- seems to only be part of the plantation."
1460,Coordinates,Antetezambaro,"-18.0029,49.4014",,,"Antetezambaro
Coordinates: -18.00289678492474, 49.401397705078125"
1467,Exact location,"Canal du Sahel, Mali","13.79797,-6.14078",,,"Office du Niger,  Séribala and Dougabougou

Spatial data derived from the Mapathon 2020."
1470,Administrative region,"Garalo, Mali","10.99,-7.437",,,Garalo
1474,Administrative region,"Macina, Mali, Mali","14.17691,-5.16607",,,"Ségou, Office du Niger. The area of landmdesignated to Malibya was not specified in the contract and gave the company rights to a
site or sites of its choosing in the delta region of the Niger River. about 45 km west of Macina"
1478,Administrative region,"Koulikoro, Mali","12.86667,-7.56667",,,"Kouli Koro region, Banamba City -Macina, Office du Niger. Kareri according to contract"
1481,Administrative region,"Alatona, Mali","14.79672,-5.93235",,,Office du Niger Alatona
1482,Exact location,"Kayes, Mali","12.88425,-11.37738",,,"Loulo, Gounkoto in the west of Mali, bordering Senegal and adjacent to the Falémé River."
1483,Administrative region,"Sikasso, Mali","11.31667,-5.66667",,,"The Syama Gold Project is located in the south of Mali, West Africa approximately 30kms from the Côte d’Ivoire border and 300km southeast of the capital Bamako."
