Deal ID,Contract number,Contract date,Contract expiration date,Duration of the agreement (in years),Comment on contract
3464,,2011-08-17,,50,
3625,,2005-05-24,,30,
3676,,2009-12-28,,25,
3738,,,,30,
3745,,,,99,
3746,,1995-11-22,,99,
3747,,,,25,
3765,,2004,2029,25,The land for the pineapple plantation was registered and leased for 25 years in 2004 instead of the usual 50 years
3766,,,,49,
3768,,,,50,
3770,,2009-01-11,,50,There is an option of renewal for a further period of 25 years
3771,,,,50,
3772,,2012-12-01,,50,
3773,,2000,,50,"Some of the leases were to expire in 2015/2016. Due to the lack of land title, there is no official lease. When the company signed the sale contract with the previous owner, the intention was to have a 50-year, renewable, lease from 2020.
1. A letter from the Western Regional Lands commission confirming NGL’s right of use of the lands it is
operating on (pending the renewal of the leases) has been obtained.
2. Subsequently the chiefs/landowners have signed an Memorandum of Understanding (MOU) with
NGL indicating their preparedness to renew all the expired leases for the company whilst NGL also
fulfils its part of the MOU"
3778,,,,50,
3783,,,,99,
3784,,,,25,
3785,,2011-08,,30,"forestry certificate (permit) numbers 004/84 and 014/2004. 

Carbon Rights Agreement signed on March 14, 2011 between ERA Ecosystem Restoration Associates and the DRC government by its representative the Minister of Environment. This agreement transfers the carbon rights to ERA, and states the roles and obligations of the two parties to that agreement, the project time period, revenue sharing with the government, payment to communities, and tax to be paid by ERA to the government, in this case only the area tax is to be paid, exempting ERA from other taxes established by the Forestry Code.
Forest Conservation Concession Contract signed on July 30, 2011 by ERA-Congo and the Ministry of Environment representatives, which allocates the conceded lands to ERA-Congo, and defines ERA-Congo’s social, environmental and management obligations.
This contract is effect for 25 years and applies to the 299,640ha project area. After this period, the contract may be renewed on the terms contained in Article 8 of the Concession Contract. The 25-year contract will be renewed to complete the 30-year project crediting period."
3788,,,,50,
3795,,2012-06-08,,25,25 years from date of adoption of the management plan
3814,,2010-08-23,2035-08-23,25,The contract was signed on 17 August 2010 in the Ethiopia calendar which differs from global calendar.
3815,,2012-07-12,,30,
3816,,2011-03-19,2036-03-19,25,"The contract was signed in March 10, 2003 Ethiopian Calender"
3817,,2003-02-01,,,
3818,,2010-12-18,2035-12-18,25,The contract was signed in July 2003 according to Ethiopian Calendar which differs from the global calendar
3820,,2009-08-26,2034-08-26,25,"The contract was signed in August 20, 2001 Ethiopian Calander"
3821,,2003-04-09,,25,
3822,,2011-11-24,2035-11-24,25,The contract was signed 14 November in 2004 according to Ethiopian Calendar which differs from global calendar
3823,,2011-07-11,,25,
3824,,2012-01-25,,25,
3825,,2011-08-06,2036-08-06,25,"The contract was signed in August 2003, Ethiopian Calendar"
3827,,2010-12-01,2035-12-01,25,"The contract was signed November 22, 2003, Ethiopia Calendar"
3828,,2009-11-10,2034-11-10,25,"The contract was signed in November 01,  2002 Ethiopian Calender"
3829,,2002-03-30,,,
3830,,2011-09-30,,25,
3832,,2012-06-25,,25,
3833,,2010-05-15,2035-05-15,25,The contract was signed 09 May 2002 according to Ethiopian Calendar which is 2010 on global calendar.
3834,,2009-09-26,2034-09-26,25,"August 26, 2001 in Ethiopia Calander"
3836,,2011-07-30,2036-07-30,25,The contract was signed 23 July in 2003 according to Ethiopian Calendar which differs from the global calendar.
3837,,2011-10-07,2036-11-07,25,The contract was signed in September 2004 according to Ethiopian Calendar
3838,,2011-03-19,2036-03-19,25,The contract was signed 10 March 2003 according to Ethiopian Calendar which differs from global calendar.
3839,,2010-01-09,2035-01-09,25,The contract was signed in 2002 Ethiopia  Calander
3843,,,,50,"Certain plantation lands in Cameroon were given land use rights by the State of Cameroon in 1996 for a period of 50 years plus 50 years, renewable at a nominal value to the Group. With the Group’s continuing investment in replanting and extension on the plantation land, the Group is of the view that it is not likely that the land use rights will not be renewed at the expiring of its current term"
3843,decret No 2012/099,2012-03-12,,,Extension of plantation
3844,,,,50,
3848,,,,50,"WAADL received a 50 year land concession of 20,000ha"
3851,,,,50,
3866,,,,25,
3867,,,,25,
3880,,2013-08-06,,99,
3883,,2014-10-03,2113-10-03,99,
3901,FMC-004,2009-09-16,2034-09-16,25,
3914,,,,50,
3915,,,,25,
3925,,,,55,
3986,,,,99,"The Sudanese government stipulated a 99-year renewable lease for 87,200 ha of land."
4059,,2009-06-03,,25,
4061,,,,99,The company website states a 99-year lease.
4166,,2008-11-12,,49,
4301,,,,50,"a 50-year lease, with a 21 year extension option. However, in 2017, the project was abandoned."
4305,,,,99,
4323,,,,30,
4341,,2012,,50,"""The lease is for 50yrs from 2012. However, the registration remains incomplete due to the litigations."" (from interview with investor by CLPI)"
4364,,,,30,
4368,,,,25,
4374,,2009-01-14,,,
4380,,,,90,
4383,,,,15,
4384,,,,50,
4403,,,,99,
4432,,,,25,
4434,,,,25,
4464,,,,25,
4485,,,,20,
4496,,,,40,
4506,,,,99,
4507,,,,15,
4514,,2013,2038,25,
4519,,,,50,
4520,,,,25,
4521,EDSR17448,2013-06-11,,,"Certificate of Occupancy No.EDSR17448, this certify that PRESCO Plc about land 14,436.823 hectares for Agriculture purpose only. Issued on June 11, 2013 by Governor of Edo State of Nigeria."
4521,,,,,Additional land acquired in 2016. No contract details available.
4555,,2006-03-17,2106-03-16,99,"Original lease contract signed in 2006, taken over by Okomu Palm Oil in 2013"
4566,,,,15,The ESIA states that it is a 99 year term.
4583,,,,50,
4602,,2005-07-26,,25,
4603,,2016,,49,"long-term (49 year, renewable to 99 year) agriculture lease (Bail Emphyteotique signed between the Director General of Olam Gabon, the President of Republic of Gabon and Minister of Town Planning and Housing (Ministre de l’Urbanisme et du Logement)"
4722,,,,40,
4727,,,,99,
4734,,,,10,
4749,,,,49,
4750,,,,49,
4752,,,,49,
4756,,,,49,
4763,,,,,"KML  is  the  holder  of  five  Large-scale  Mining  Licences.    15868-HQ-LML  covers  the  Sentinel  deposit, processing plant and supporting infrastructure, whilst 15869-HQ-LML covers the Enterprise deposit.  15870-HQ-LML, 15871-HQ-LML and 15872-HQ-LML cover exploration areas, sites for Project infrastructure and buffer zones to prevent encroachment of local settlements"
4764,,,,20,
4765,,2015-09-07,,25,
4766,,,,25,
4767,,,,25,
4768,,,,25,
4780,,,,10,
4785,,,,99,
4791,,,,25,
4797,,,,10,
4800,,,,38,
4927,,,,35,
4929,,,,25,
4934,,,,50,
4940,,,,50,Renewable for extra 25 years
4942,,,,10,
4949,,,,35,
4950,,,,11,
4952,2011-419/PRES/PM/MEDD,2011-06-23,,,"Decree No. 2011-419/PRES/PM/MEDD of June 23, 2011"
4966,,,,50,
4978,048/12,2012-04-27,2037-04-26,25,Another source indicates contract number is 024/05 (year is 2005). Contract is renewable.
4979,064/14,2014-07-10,2039-08-09,25,
4989,049/14,2014-04-25,2039-04-24,25,
4990,011/11,2011-08-04,2036-08-03,25,
4991,TSC0005,2008-06-27,2011-06-25,3,
4993,022/11,2011-10-24,2036-10-23,25,
4994,008/20,2020-01-14,2045-02-05,25,
4995,004/11,2011-08-04,2036-08-03,25,
5011,,2016-02-23,,10,
5014,005/11,2011-08-04,2036-08-03,25,
5018,042/11,2011-10-24,2036-10-23,25,Contract is renewable. Contract number: 042/11.
5019,002/20,2020-01-14,2045-02-05,25,Previously contract 017/11 allocated to Megabois
5021,021/11,2011-10-24,2036-10-23,25,
5024,,2002,2052,50,
5029,020/11,2011-10-24,2036-10-23,25,
5030,015/11,2011-08-04,2036-08-03,25,
5035,,,,25,
5055,,2015-01-04,,,
5055,,2013,2063,50,"One concession in 2013, a second lease in 2016"
5059,,,,30,
5060,,,,50,"Wanbao received a concession of 20,000 ha for a period of 50 years."
5098,,2011-03-18,,,
5104,,,,20,
5129,,,,25,
5130,,,,5,
5133,,,,99,
5180,,,,25,
5181,,2010-09-06,,20,
5182,ML 01/12,2012-07-10,2037,25,With option to renewal
5184,,2002-03-31,2035-03-30,33,Renewable for 25 years
5185,,2012-07-16,2032-07-15,20,
5189,,,,5,
5190,,,,4,
5193,,2012-08-01,,30,
5214,009/11,2011-08-04,2036-08-03,25,
5215,018/11,2011-10-24,2036-10-23,25,Another data source states contract expires on 23/10/2036
5217,055/14,2014-06-26,2039-06-25,25,
5220,024/11,2011-10-24,2036-10-23,25,
5221,025/11,2011-10-24,2036-10-23,25,
5223,026/11,2011-10-24,2036-10-23,25,
5224,,2011-08-04,,25,
5225,045/11,2011-10-24,2036-10-23,25,amendment on 13/12/2011. Contract expires 23/10/2036
5226,027/11,2011-10-24,2036-10-23,25,027/11
5228,001/20,2020-01-14,2045-02-05,25,Previously contract 016/11 allocated to SEFOCO
5229,039/11,2011-10-21,2036-10-20,25,
5230,040/11,2011-10-24,2036-10-23,25,
5231,063/14,2014-07-10,2039-08-09,25,
5232,065/14,2014-07-10,,25,
5233,061/14,2014-07-10,2039-08-09,25,
5234,060/14,2014-07-10,2039-08-09,25,Assigned to Forabola by Order n°015/15.
5235,054/14,2014-05-15,2039-05-14,25,054/14
5236,062/14,2014-07-10,2039-08-09,25,
5237,004/20,2020-01-14,2045-02-05,25,Previously contract 033/11 allocated to Sicobois
5238,034/11,2011-10-24,2036-10-23,25,
5239,036/11,2011-10-24,2036-10-23,25,The contract was amended on 13/12/2011. Assigned to Forabola by Order n°015/15.
5240,037/11,2011-10-24,2036-10-23,25,
5241,003/20,2020-01-14,2045-02-05,25,Previously contract 051/14 by Sicobois
5242,052b/14,2014-05-21,2039-05-14,25,052b/14
5243,053/14,2014-05-15,2039-05-14,25,Assigned to Siforco by Order No. 019/14. Ceased to Booming Group in 2017.
5244,007/20,2020-01-14,2045-02-05,25,Previously 057/14 held by Forabola.
5247,058/14,2014-07-10,,25,Assigned to Forabola by Order n°015/15.
5248,059/14,2014-07-10,2039-08-09,25,Previously CFT
5278,,,,25,
5316,,,,99,
5342,ML01/2019,2019-05-23,2044-05-22,25,Initially awarded in 2012.
5344,,2010-08-09,,25,
5346,,,,,"Lifespan of mine estimated to be 14 years, until 2025."
5363,,2014-08-05,,,
5364,,2008-06-18,,,
5365,,2009-01-05,,20,
5412,,,,25,
5417,,,,30,
5421,235,2001-06-25,,20,
5427,,,,40,
5428,,,,31,
5439,,2009-01-09,2034-01-18,25,
5445,,2010-04-23,,3,
5458,,2014-09-20,,25,
5491,,,,10,
5496,,,,50,
5520,,,,20,
5559,,2013,,99,
5567,,,,2019,
5568,,,,30,
5590,,,,60,
5605,,,,49,
5644,,2017-09-14,,50,
5698,,2013-12,,,"Goulagou I, Goulagou II and Rambo exploitation permits granted in December 2013. Kao and Nami exploitation permit received in Sept 2014."
5699,,2012-08-01,2022-08-01,10,"The Agbaou Exploitation Permit (permit no. 37) covers an area of 334km2, and was granted to Etruscan Resources Cote d’Ivoire SARL (“ERCI”) by Decree no. 2012-766 on August 1, 2012 and is valid for 10 years with renewals available based on remaining mine life."
5700,,2015-02-05,2035-02-05,20,"The Houndé Exploitation permit was granted to HGO on February 5, 2015 covering 23.20km2 and is valid until February 5, 2035 and may be renewed for consecutive five-year periods until deposits are depleted."
5701,2014-223,2007-03-20,2027,20,"The first Wona-Nyafé exploitation permit, No. 2007-144, was obtained in 2007 to cover the Wona-Kona and Nyafé deposits. Following the discoveries of the Fofina and Siou Deposits, a revised permit, No. 2014-223, was obtained to include these deposits. This permit covers a total area of 148.84 km2 and is held by SEMAFO Burkina Faso SA (90% subsidiary of SEMAFO Inc.). Permit No. 2014-223 is valid for 20 years, until 2027, starting from the initial permit decree."
5702,,2007-03-20,,10,
5703,,,2027,20,
5705,,2008,,10,https://wikileaks.org/plusd/cables/08OUAGADOUGOU602_a.html
5706,,,,10,
5707,,,,10,
5708,,2014-11-18,,25,
5709,,2010-12-16,2035-12-15,25,
5710,,2003-04-11,2028-04-10,25,
5711,,2012-07-27,2014-07-26,2,This is the 3rd renewal of its research permit and research permits are valid just for 2 year.
5716,15/32/MME/SG,2015-08-03,,10,
5895,,,,99,
5908,,,,15,
5926,,,,99,
5946,,2010-01-04,,25,
5947,,2009-09-17,2034-09-16,25,
5948,,2011-10-26,,6,
5949,,2009-04-14,,11,
5950,,2011-01-04,,30,
5951,,2011-10-06,,17,
5952,,2011-01-17,,2,
5953,,2011-07-15,,11,
5954,,2011-06-15,,25,
5960,,2007-12-19,,,
6021,,,,5,
6057,,,,50,Renewable for another 50 years
6130,,,,50,
6276,Permit 4578,2018-05,,30,Lemur said  it had concluded a 30-year concession agreement with the Madagascan government. Permit 4578 consists of 4 blocks and is a full mining license.
6620,,1960,,,Conveyance into perpetuity
6633,(WC)30/5/1/2/2/163 MR,,,,
6684,,,,25,
6685,,,,7,
6686,License 184,,,,
6688,License 183,,,,
6689,License 187,,,,
6690,License 186,,,,
6697,,2008-05-08,,40,
6698,,,,30,
6699,,,,40,
6742,,1977,,,conveyance into perpetuity
6749,,,,50,
6799,,,,99,
6839,,2017-11-10,,,
6866,,2011-12-16,,,
6913,,2018-11-19,,,
6915,,2005-08-15,,,
7004,PDE 37242,2012-03-21,2052-03-20,40,"With a 40-year extension. However, one document claims the validity of this license is considered suspect since it was granted by a transitional government led by Andry Rajoelina, who rode to power in a coup in 2009."
7015,,2016,2031,15,15-year lease by Botswana Development Corporation in 2016
7032,,2005-05-31,2030-05-30,25,
7033,,2004-09-30,2029-09-29,25,
7051,,2019-04-30,,,
7085,,2013-04-11,,,
7087,,2000-11-21,,,
7090,SPL264,,,,"special prospecting license 264 which covers three previously worked mines in Nandi County in Western Kenya; Equatorial, Rock Corry and Boma Mines.  Location License 1113/1-8, a temporary mining license pending approval
to a full mining license"
7100,80010004209115,2014-06-17,,49,
7120,80010003809918,2012-10-10,,99,
7143,,2013-11-04,,,
7147,8001000093974,2015-10-19,,,
7149,R1000000341061,,2017-11-24,99,
7203,,2013,,21,
7359,,2003,2031,30,"Possibility of renewal. The contract was revised in December 2015.
The Ahafo mine operates on three mining leases between the Government of Ghana and Newmont Ghana Gold Ltd."
7360,,2010,2025,15,
7389,10-041,2010-12-20,2040-12-20,30,
7391,10.042,2001-10-05,2031-10-05,30,FMU number 10.042
7392,10-061,2001-10-12,,,"FMU 10-061, logging certificate 1021"
7396,,2004-04-08,2019-04-07,15,"The company have re-applied for an extension of the term of its mining lease.
The Chirano mining lease expired on April 7, 2019 and an application to extend the term of the mining lease was filed prior to its expiration. On August 9, an extension for an additional 15 years was received, subject to finalizing details of a new mining lease with the Government of Ghana. A proposed new mining lease submitted by the Government of Ghana was signed in December 2019. The lease is currently awaiting final ratification by Parliament."
7396,,2019-08-09,2034-08-08,15,"On August 9, an extension for an additional 15 years was received, subject to finalizing details of a new mining lease with the Government of Ghana. A proposed new mining lease submitted by the Government of Ghana was signed in December 2019. The lease is currently awaiting final ratification by Parliament."
7398,,2012-12-31,,50,"The contract was originally signed 2011, in 2012 the contract was surrendered and a new contract was signed 31/12/2012."
7399,,2011-11-18,2061-11-17,50,
7401,1056,2010-12-20,2040-12-20,,It has as concession number 1056. This area is FMU number 10.044
7402,1027,,,,It has as concession number 1027. FMU number 07-002
7403,,2000-03-14,2030-03-14,30,FMU number 10.009
7405,130,2015-04-14,,3,It has as concession number 1030. FMU number 08.008
7406,CFMA 5 (Numopoh),2016-05-12,,5,Agreement subject to periodic review every 2 years.
7411,08-009,2000-10-06,2030-10-06,30,It has as concession number 1031
7412,09-015,2001-01-11,2031-01-11,30,
7413,09-019,2000-10-25,,,
7414,09-024,2011-12-02,2041-12-02,30,
7425,10-020,2012-04-27,2042-04-27,30,FMU number 10.020 classified in 2005-01-26 and attributed in 2012-04-27
7426,1040,2000-10-12,,,"FMU 10-026, concession number 1040, exploitation notice No 2385. FMU number 10.026  attributed to ALPICAM in 2000-10-12 and classified in 2005-01-26"
7427,10-031,2016-05-03,2031-05-02,15,FMU number 10.031 attributed in 2010-10-21 and classified in 2017-01-17. The Cahier de Charges is valid for 15 years from 3 May 2016
7428,1043,2000-10-23,,,FMU number 10.038 attributed to CAMBOIS in 2000-10-23 but classified in 2010-03-31. Concession number 1043
7429,10.045,2007-10-09,,,FMU number 10.045 attributed to FIPCAM in 2007-10-09 and classified as an FMU in 2017-01-17
7430,10-046,2000-12-15,,,FMU number 10.046  attributed to SCTB Sarl in 2000-12-15 but classified as an FMU in 2017-01-17
7431,10-062,2000-10-20,,,FMU number 10.062 classified as a FMU in 2004-12-08 and attributed to PANAGIOTIS MARELIS IN 2000-10-20
7434,,2014-08,,,
7494,,2017,2022,5,Lease agreement would be reviewed every 5 years .
7500,1048,2000-10-10,,,Classified as a FMU in 2005-01-26. This concession was initially attributed to SIBAF and later handed over to ALPICAM in 2005. Concession number 1048
7620,,,,25,The lease agreement is for 25 years.
7621,,2009,,15,leased from 830 individual  Landowners as at April 2018)
7625,,2010,2025,15,leased land directly from landowners.
7626,Portant Concession De Baux Emphyteotiques [Convention 0006],2012-11-13,2062-11-12,50,Once renewable for a maximum of 49 years
7627,,2019,,,
7628,,2012-11-13,2062-11-12,50,Renewable once for maximum 49 years
7629,,2015-04-22,2065-04-21,50,"Mouila Lot 3 - 23,780ha. Period of 50 years, renewable once"
7629,,2016-09-27,2065-09-26,49,"Mouila Lot 3 Extension - 14,530ha. 49 year lease, renewable to 99 year."
7651,,2007,,,
7659,10-005A,2006,2036,30,Concession number 1051 which is FMU number 10-005(A) was classified in 2005-01-26. It was first attributed to STBK temporarily  from the year 2001-2004
7672,,2016-11-15,2115-11-15,99,
7726,,2016-03-31,2115-03-31,99,
7746,,,,,No data
7747,,2016-01-07,,,There is no information for how long the lease  is
7748,,2004-01-01,2070-01-01,66,
7749,,2016-08-28,,,No information available for how long the lease
7750,,2015-01-10,2114-01-10,99,
7775,,2010-03-29,,99,
7785,,2016-11-15,2115-11-15,99,
7786,,2016-08-01,2115-08-01,99,
7801,9735C;  9229C;  9228C,2019,2044,25,All the licences are valid until 2044 with the potential to extend for an additional 25 years
7807,,,,25,
7827,,2017-12,,25,25 year Mining concession awarded in December 2014 (renewable for a further 25 years). Mining contract approved by the Council of Ministers and signed in December 2017.
7837,5967C,2013,,25,
7838,,2014,,40,Other reports claims the duration of the agreement is 20 years.
7847,,2011-08-22,2036,25,
7850,MC9132C,2019-02-27,,25,The mining concession be granted for an initial period of 25 years (renewable for subsequent periods of 25 years).
7851,,2013-12-06,2038-12-06,25,25 years (renewable)
7854,8770C,2018-03,,,
7868,,2011-04-01,,,It is an allocation.  (cf contrat in the source)
7870,CFMA Bluyeama,,,15,"The people of Bluyeama Clan signed a CFMA with the FDA as a legal contract made and entered into on 10 January 2012. The CFMA is valid for 15 year and subject to revision which can either lead to extension or cancellation. The community further sub-contracted the forest management  to  SAPLI (a logging company) on January 30th, 2016. This MOU covers a period of 15 years ."
7875,CFMA 1,2011-05-18,2013-05-31,,"The concession expired on 31 May 2013, yet pre-felling activities are currently continuing in the absence of a contract."
7876,CMFA 2 (Blouquia),2011-05-18,,,
7877,CFMA 4,2011,2026,15,
7879,CFMA Doru,2011,2031-05-31,,
7892,Sewaca CFMA,2017-06-25,2032-06-25,15,"The Sewacujoe CFMA contract was issued on June 25, 2017 for 15 years (expires 2032). The community entered into a 15-year agreement with Mandra the same year."
7893,,2017-03-25,2032-03-24,15,
7894,,2018-01-17,2033-01-16,15,
7897,8955C,,2042-12-05,25,"The latest agreement, Mining Concession 8955C, is set to be valid for a 25-year period up to 5 December 2042"
7900,4703C,2011-11-11,2036-11-11,25,
7909,,,,50,Sub-leased to Brazil Agro for rice cultivation
7911,N° 005/CR/D,2013-07-04,,,There are non expiration date and no duration for the agreement
7938,,,,40,
7967,,2007-11-03,2037-11-03,30,
7968,,2010-06-08,2023-06-07,13,
7971,,2018-02-20,,30,
8063,,2013,,50,
8082,,,,50,
8084,,2020-02-21,,,"The Massawa Mining License was granted to Randgold on February 21, 2020 (and subsequently transferred to Massawa SA on March 3, 2020) and is governed by the Kanoumba Mining Convention and amendment no. 1 thereto, dated April 14, 2010 and February 13, 2020, respectively (collectively referred to herein as the Kanoumba Mining Convention)."
8239,,,2043,,"In 2043, Bujagali will be transferred to the GOU for one US dollar with an expected remaining life of 70+ years."
8281,,2017-09-11,2042-09-10,25,
8283,,2014-03-12,2039,25,
8284,,2014-04-10,2039,25,
8298,,2014-04-04,2039-04-04,25,For 25 years (It will expire in 2039)
8301,,2011-04-16,2026-04-15,15,
